... loading data
... building the model
... getting the pretraining functions
... pre-training the model
... getting the finetuning functions
40
53
... finetuning the model
epoch 1, minibatch 300/300, validation error 16.981132 %
     epoch 1, minibatch 300/300, test error of best model 22.500000 %
epoch 2, minibatch 300/300, validation error 16.981132 %
epoch 3, minibatch 300/300, validation error 16.981132 %
epoch 4, minibatch 300/300, validation error 16.981132 %
epoch 5, minibatch 300/300, validation error 16.981132 %
epoch 6, minibatch 300/300, validation error 16.981132 %
epoch 7, minibatch 300/300, validation error 16.981132 %
epoch 8, minibatch 300/300, validation error 16.981132 %
epoch 9, minibatch 300/300, validation error 16.981132 %
epoch 10, minibatch 300/300, validation error 16.981132 %
epoch 11, minibatch 300/300, validation error 16.981132 %
epoch 12, minibatch 300/300, validation error 16.981132 %
epoch 13, minibatch 300/300, validation error 16.981132 %
epoch 14, minibatch 300/300, validation error 16.981132 %
epoch 15, minibatch 300/300, validation error 16.981132 %
epoch 16, minibatch 300/300, validation error 16.981132 %
epoch 17, minibatch 300/300, validation error 16.981132 %
epoch 18, minibatch 300/300, validation error 16.981132 %
epoch 19, minibatch 300/300, validation error 16.981132 %
epoch 20, minibatch 300/300, validation error 16.981132 %
epoch 21, minibatch 300/300, validation error 16.981132 %
epoch 22, minibatch 300/300, validation error 16.981132 %
epoch 23, minibatch 300/300, validation error 16.981132 %
epoch 24, minibatch 300/300, validation error 16.981132 %
epoch 25, minibatch 300/300, validation error 16.981132 %
epoch 26, minibatch 300/300, validation error 16.981132 %
epoch 27, minibatch 300/300, validation error 16.981132 %
epoch 28, minibatch 300/300, validation error 16.981132 %
epoch 29, minibatch 300/300, validation error 16.981132 %
epoch 30, minibatch 300/300, validation error 16.981132 %
epoch 31, minibatch 300/300, validation error 16.981132 %
epoch 32, minibatch 300/300, validation error 16.981132 %
epoch 33, minibatch 300/300, validation error 16.981132 %
epoch 34, minibatch 300/300, validation error 16.981132 %
epoch 35, minibatch 300/300, validation error 16.981132 %
epoch 36, minibatch 300/300, validation error 16.981132 %
epoch 37, minibatch 300/300, validation error 16.981132 %
epoch 38, minibatch 300/300, validation error 16.981132 %
epoch 39, minibatch 300/300, validation error 16.981132 %
epoch 40, minibatch 300/300, validation error 16.981132 %
epoch 41, minibatch 300/300, validation error 16.981132 %
epoch 42, minibatch 300/300, validation error 16.981132 %
epoch 43, minibatch 300/300, validation error 16.981132 %
epoch 44, minibatch 300/300, validation error 16.981132 %
epoch 45, minibatch 300/300, validation error 16.981132 %
epoch 46, minibatch 300/300, validation error 16.981132 %
epoch 47, minibatch 300/300, validation error 16.981132 %
epoch 48, minibatch 300/300, validation error 16.981132 %
epoch 49, minibatch 300/300, validation error 16.981132 %
epoch 50, minibatch 300/300, validation error 16.981132 %
epoch 51, minibatch 300/300, validation error 16.981132 %
epoch 52, minibatch 300/300, validation error 15.094340 %
     epoch 52, minibatch 300/300, test error of best model 5.000000 %
epoch 53, minibatch 300/300, validation error 15.094340 %
epoch 54, minibatch 300/300, validation error 15.094340 %
epoch 55, minibatch 300/300, validation error 15.094340 %
epoch 56, minibatch 300/300, validation error 15.094340 %
epoch 57, minibatch 300/300, validation error 15.094340 %
epoch 58, minibatch 300/300, validation error 15.094340 %
