... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... pre-training the model
... getting the finetuning functions
39
54
... finetuning the model
epoch 118, minibatch 300/300, validation error 12.962963 %
epoch 119, minibatch 300/300, validation error 12.962963 %
epoch 120, minibatch 300/300, validation error 12.962963 %
epoch 121, minibatch 300/300, validation error 12.962963 %
epoch 122, minibatch 300/300, validation error 12.962963 %
epoch 123, minibatch 300/300, validation error 12.962963 %
epoch 124, minibatch 300/300, validation error 12.962963 %
epoch 125, minibatch 300/300, validation error 11.111111 %
     epoch 125, minibatch 300/300, test error of best model 10.256410 %
epoch 126, minibatch 300/300, validation error 11.111111 %
epoch 127, minibatch 300/300, validation error 11.111111 %
epoch 128, minibatch 300/300, validation error 11.111111 %
epoch 129, minibatch 300/300, validation error 11.111111 %
epoch 130, minibatch 300/300, validation error 11.111111 %
epoch 131, minibatch 300/300, validation error 11.111111 %
epoch 132, minibatch 300/300, validation error 11.111111 %
epoch 133, minibatch 300/300, validation error 11.111111 %
epoch 134, minibatch 300/300, validation error 11.111111 %
epoch 135, minibatch 300/300, validation error 11.111111 %
epoch 136, minibatch 300/300, validation error 11.111111 %
epoch 137, minibatch 300/300, validation error 11.111111 %
epoch 138, minibatch 300/300, validation error 11.111111 %
epoch 139, minibatch 300/300, validation error 11.111111 %
epoch 140, minibatch 300/300, validation error 11.111111 %
epoch 141, minibatch 300/300, validation error 11.111111 %
epoch 142, minibatch 300/300, validation error 11.111111 %
epoch 143, minibatch 300/300, validation error 11.111111 %
epoch 144, minibatch 300/300, validation error 11.111111 %
epoch 145, minibatch 300/300, validation error 11.111111 %
epoch 146, minibatch 300/300, validation error 11.111111 %
epoch 147, minibatch 300/300, validation error 11.111111 %
epoch 148, minibatch 300/300, validation error 11.111111 %
epoch 149, minibatch 300/300, validation error 11.111111 %
epoch 150, minibatch 300/300, validation error 11.111111 %
epoch 151, minibatch 300/300, validation error 11.111111 %
epoch 152, minibatch 300/300, validation error 11.111111 %
epoch 153, minibatch 300/300, validation error 11.111111 %
epoch 154, minibatch 300/300, validation error 11.111111 %
epoch 155, minibatch 300/300, validation error 11.111111 %
epoch 156, minibatch 300/300, validation error 11.111111 %
epoch 157, minibatch 300/300, validation error 11.111111 %
epoch 158, minibatch 300/300, validation error 11.111111 %
epoch 159, minibatch 300/300, validation error 11.111111 %
epoch 160, minibatch 300/300, validation error 11.111111 %
epoch 161, minibatch 300/300, validation error 11.111111 %
epoch 162, minibatch 300/300, validation error 11.111111 %
epoch 163, minibatch 300/300, validation error 11.111111 %
epoch 164, minibatch 300/300, validation error 11.111111 %
epoch 165, minibatch 300/300, validation error 11.111111 %
epoch 166, minibatch 300/300, validation error 11.111111 %
epoch 167, minibatch 300/300, validation error 11.111111 %
epoch 168, minibatch 300/300, validation error 11.111111 %
epoch 169, minibatch 300/300, validation error 11.111111 %
epoch 170, minibatch 300/300, validation error 11.111111 %
epoch 171, minibatch 300/300, validation error 11.111111 %
epoch 172, minibatch 300/300, validation error 11.111111 %
epoch 173, minibatch 300/300, validation error 11.111111 %
epoch 174, minibatch 300/300, validation error 11.111111 %
epoch 175, minibatch 300/300, validation error 11.111111 %
epoch 176, minibatch 300/300, validation error 11.111111 %
epoch 177, minibatch 300/300, validation error 11.111111 %
epoch 178, minibatch 300/300, validation error 11.111111 %
epoch 179, minibatch 300/300, validation error 11.111111 %
epoch 180, minibatch 300/300, validation error 11.111111 %
epoch 181, minibatch 300/300, validation error 11.111111 %
epoch 182, minibatch 300/300, validation error 11.111111 %
epoch 183, minibatch 300/300, validation error 11.111111 %
epoch 184, minibatch 300/300, validation error 11.111111 %
epoch 185, minibatch 300/300, validation error 11.111111 %
epoch 186, minibatch 300/300, validation error 11.111111 %
epoch 187, minibatch 300/300, validation error 11.111111 %
epoch 188, minibatch 300/300, validation error 11.111111 %
epoch 189, minibatch 300/300, validation error 11.111111 %
epoch 190, minibatch 300/300, validation error 11.111111 %
epoch 191, minibatch 300/300, validation error 11.111111 %
epoch 192, minibatch 300/300, validation error 11.111111 %
epoch 193, minibatch 300/300, validation error 11.111111 %
epoch 194, minibatch 300/300, validation error 11.111111 %
epoch 195, minibatch 300/300, validation error 11.111111 %
epoch 196, minibatch 300/300, validation error 11.111111 %
