... loading data
... building the model
... getting the pretraining functions
... pre-training the model
... getting the finetuning functions
39
54
... finetuning the model
epoch 1, minibatch 300/300, validation error 16.666667 %
     epoch 70, minibatch 300/300, test error of best model 5.128205 %
epoch 71, minibatch 300/300, validation error 12.962963 %
epoch 72, minibatch 300/300, validation error 12.962963 %
epoch 73, minibatch 300/300, validation error 12.962963 %
epoch 74, minibatch 300/300, validation error 12.962963 %
epoch 75, minibatch 300/300, validation error 14.814815 %
epoch 76, minibatch 300/300, validation error 14.814815 %
epoch 77, minibatch 300/300, validation error 12.962963 %
epoch 78, minibatch 300/300, validation error 12.962963 %
epoch 79, minibatch 300/300, validation error 12.962963 %
epoch 80, minibatch 300/300, validation error 12.962963 %
epoch 81, minibatch 300/300, validation error 14.814815 %
epoch 82, minibatch 300/300, validation error 14.814815 %
epoch 83, minibatch 300/300, validation error 11.111111 %
     epoch 83, minibatch 300/300, test error of best model 5.128205 %
epoch 84, minibatch 300/300, validation error 12.962963 %
epoch 85, minibatch 300/300, validation error 12.962963 %
epoch 86, minibatch 300/300, validation error 14.814815 %
epoch 87, minibatch 300/300, validation error 11.111111 %
epoch 88, minibatch 300/300, validation error 11.111111 %
epoch 89, minibatch 300/300, validation error 11.111111 %
epoch 90, minibatch 300/300, validation error 11.111111 %
epoch 91, minibatch 300/300, validation error 12.962963 %
epoch 92, minibatch 300/300, validation error 12.962963 %
epoch 93, minibatch 300/300, validation error 11.111111 %
epoch 94, minibatch 300/300, validation error 11.111111 %
epoch 95, minibatch 300/300, validation error 12.962963 %
epoch 96, minibatch 300/300, validation error 12.962963 %
epoch 97, minibatch 300/300, validation error 12.962963 %
epoch 98, minibatch 300/300, validation error 9.259259 %
     epoch 98, minibatch 300/300, test error of best model 5.128205 %
epoch 99, minibatch 300/300, validation error 9.259259 %
epoch 100, minibatch 300/300, validation error 9.259259 %
epoch 101, minibatch 300/300, validation error 5.555556 %
     epoch 101, minibatch 300/300, test error of best model 5.128205 %
epoch 102, minibatch 300/300, validation error 7.407407 %
epoch 103, minibatch 300/300, validation error 9.259259 %
epoch 104, minibatch 300/300, validation error 9.259259 %
epoch 105, minibatch 300/300, validation error 9.259259 %
epoch 106, minibatch 300/300, validation error 9.259259 %
epoch 107, minibatch 300/300, validation error 7.407407 %
epoch 108, minibatch 300/300, validation error 7.407407 %
epoch 109, minibatch 300/300, validation error 7.407407 %
epoch 110, minibatch 300/300, validation error 9.259259 %
epoch 111, minibatch 300/300, validation error 9.259259 %
epoch 112, minibatch 300/300, validation error 9.259259 %
epoch 113, minibatch 300/300, validation error 9.259259 %
epoch 114, minibatch 300/300, validation error 9.259259 %
epoch 115, minibatch 300/300, validation error 9.259259 %
epoch 116, minibatch 300/300, validation error 9.259259 %
epoch 117, minibatch 300/300, validation error 9.259259 %
epoch 118, minibatch 300/300, validation error 12.962963 %
epoch 119, minibatch 300/300, validation error 14.814815 %
epoch 120, minibatch 300/300, validation error 12.962963 %
epoch 121, minibatch 300/300, validation error 14.814815 %
epoch 122, minibatch 300/300, validation error 12.962963 %
epoch 123, minibatch 300/300, validation error 14.814815 %
epoch 124, minibatch 300/300, validation error 14.814815 %
epoch 125, minibatch 300/300, validation error 14.814815 %
epoch 126, minibatch 300/300, validation error 14.814815 %
epoch 127, minibatch 300/300, validation error 12.962963 %
epoch 128, minibatch 300/300, validation error 12.962963 %
epoch 129, minibatch 300/300, validation error 11.111111 %
epoch 130, minibatch 300/300, validation error 11.111111 %
epoch 131, minibatch 300/300, validation error 11.111111 %
epoch 132, minibatch 300/300, validation error 11.111111 %
epoch 133, minibatch 300/300, validation error 11.111111 %
epoch 134, minibatch 300/300, validation error 11.111111 %
epoch 135, minibatch 300/300, validation error 11.111111 %
epoch 136, minibatch 300/300, validation error 12.962963 %
epoch 137, minibatch 300/300, validation error 12.962963 %
epoch 138, minibatch 300/300, validation error 12.962963 %
epoch 139, minibatch 300/300, validation error 12.962963 %
epoch 140, minibatch 300/300, validation error 12.962963 %
epoch 141, minibatch 300/300, validation error 12.962963 %
epoch 142, minibatch 300/300, validation error 12.962963 %
epoch 143, minibatch 300/300, validation error 12.962963 %
epoch 144, minibatch 300/300, validation error 12.962963 %
epoch 145, minibatch 300/300, validation error 11.111111 %
epoch 146, minibatch 300/300, validation error 7.407407 %
epoch 147, minibatch 300/300, validation error 5.555556 %
epoch 148, minibatch 300/300, validation error 5.555556 %
epoch 149, minibatch 300/300, validation error 5.555556 %
epoch 150, minibatch 300/300, validation error 5.555556 %
epoch 151, minibatch 300/300, validation error 5.555556 %
epoch 152, minibatch 300/300, validation error 7.407407 %
epoch 153, minibatch 300/300, validation error 14.814815 %
epoch 154, minibatch 300/300, validation error 7.407407 %
epoch 155, minibatch 300/300, validation error 7.407407 %
epoch 156, minibatch 300/300, validation error 9.259259 %
epoch 157, minibatch 300/300, validation error 1.851852 %
     epoch 157, minibatch 300/300, test error of best model 5.128205 %
epoch 158, minibatch 300/300, validation error 5.555556 %
epoch 159, minibatch 300/300, validation error 14.814815 %
epoch 160, minibatch 300/300, validation error 5.555556 %
epoch 161, minibatch 300/300, validation error 5.555556 %
epoch 162, minibatch 300/300, validation error 11.111111 %
epoch 163, minibatch 300/300, validation error 7.407407 %
epoch 164, minibatch 300/300, validation error 7.407407 %
epoch 165, minibatch 300/300, validation error 14.814815 %
epoch 166, minibatch 300/300, validation error 14.814815 %
epoch 167, minibatch 300/300, validation error 14.814815 %
epoch 168, minibatch 300/300, validation error 14.814815 %
epoch 169, minibatch 300/300, validation error 14.814815 %
epoch 170, minibatch 300/300, validation error 14.814815 %
epoch 171, minibatch 300/300, validation error 14.814815 %
epoch 172, minibatch 300/300, validation error 14.814815 %
epoch 173, minibatch 300/300, validation error 14.814815 %
epoch 174, minibatch 300/300, validation error 14.814815 %
epoch 175, minibatch 300/300, validation error 14.814815 %
epoch 176, minibatch 300/300, validation error 14.814815 %
epoch 177, minibatch 300/300, validation error 14.814815 %
epoch 178, minibatch 300/300, validation error 14.814815 %
epoch 179, minibatch 300/300, validation error 14.814815 %
epoch 180, minibatch 300/300, validation error 14.814815 %
epoch 181, minibatch 300/300, validation error 14.814815 %
epoch 182, minibatch 300/300, validation error 14.814815 %
epoch 183, minibatch 300/300, validation error 14.814815 %
epoch 184, minibatch 300/300, validation error 14.814815 %
epoch 185, minibatch 300/300, validation error 14.814815 %
epoch 186, minibatch 300/300, validation error 14.814815 %
epoch 187, minibatch 300/300, validation error 12.962963 %
epoch 188, minibatch 300/300, validation error 12.962963 %
epoch 189, minibatch 300/300, validation error 12.962963 %
epoch 190, minibatch 300/300, validation error 12.962963 %
epoch 191, minibatch 300/300, validation error 12.962963 %
epoch 192, minibatch 300/300, validation error 12.962963 %
epoch 193, minibatch 300/300, validation error 12.962963 %
epoch 194, minibatch 300/300, validation error 12.962963 %
epoch 195, minibatch 300/300, validation error 12.962963 %
epoch 196, minibatch 300/300, validation error 12.962963 %
epoch 197, minibatch 300/300, validation error 12.962963 %
epoch 198, minibatch 300/300, validation error 12.962963 %
epoch 199, minibatch 300/300, validation error 12.962963 %
epoch 200, minibatch 300/300, validation error 12.962963 %
epoch 201, minibatch 300/300, validation error 12.962963 %
epoch 202, minibatch 300/300, validation error 12.962963 %
epoch 203, minibatch 300/300, validation error 12.962963 %
epoch 204, minibatch 300/300, validation error 12.962963 %
epoch 205, minibatch 300/300, validation error 12.962963 %
epoch 206, minibatch 300/300, validation error 12.962963 %
epoch 207, minibatch 300/300, validation error 12.962963 %
epoch 208, minibatch 300/300, validation error 12.962963 %
epoch 209, minibatch 300/300, validation error 12.962963 %
epoch 210, minibatch 300/300, validation error 12.962963 %
epoch 211, minibatch 300/300, validation error 12.962963 %
epoch 212, minibatch 300/300, validation error 12.962963 %
epoch 213, minibatch 300/300, validation error 12.962963 %
epoch 214, minibatch 300/300, validation error 12.962963 %
epoch 215, minibatch 300/300, validation error 12.962963 %
epoch 216, minibatch 300/300, validation error 12.962963 %
epoch 217, minibatch 300/300, validation error 12.962963 %
epoch 218, minibatch 300/300, validation error 12.962963 %
epoch 219, minibatch 300/300, validation error 12.962963 %
epoch 220, minibatch 300/300, validation error 12.962963 %
epoch 221, minibatch 300/300, validation error 12.962963 %
epoch 222, minibatch 300/300, validation error 12.962963 %
epoch 223, minibatch 300/300, validation error 12.962963 %
epoch 224, minibatch 300/300, validation error 12.962963 %
epoch 225, minibatch 300/300, validation error 12.962963 %
epoch 226, minibatch 300/300, validation error 12.962963 %
epoch 227, minibatch 300/300, validation error 12.962963 %
epoch 228, minibatch 300/300, validation error 12.962963 %
epoch 229, minibatch 300/300, validation error 12.962963 %
epoch 230, minibatch 300/300, validation error 12.962963 %
epoch 231, minibatch 300/300, validation error 12.962963 %
epoch 232, minibatch 300/300, validation error 12.962963 %
epoch 233, minibatch 300/300, validation error 12.962963 %
epoch 234, minibatch 300/300, validation error 12.962963 %
epoch 235, minibatch 300/300, validation error 12.962963 %
epoch 236, minibatch 300/300, validation error 12.962963 %
epoch 237, minibatch 300/300, validation error 12.962963 %
epoch 238, minibatch 300/300, validation error 12.962963 %
epoch 239, minibatch 300/300, validation error 12.962963 %
epoch 240, minibatch 300/300, validation error 12.962963 %
epoch 241, minibatch 300/300, validation error 12.962963 %
epoch 242, minibatch 300/300, validation error 12.962963 %
epoch 243, minibatch 300/300, validation error 12.962963 %
epoch 244, minibatch 300/300, validation error 12.962963 %
epoch 245, minibatch 300/300, validation error 12.962963 %
epoch 246, minibatch 300/300, validation error 12.962963 %
epoch 247, minibatch 300/300, validation error 12.962963 %
epoch 248, minibatch 300/300, validation error 12.962963 %
epoch 249, minibatch 300/300, validation error 12.962963 %
epoch 250, minibatch 300/300, validation error 12.962963 %
epoch 251, minibatch 300/300, validation error 12.962963 %
epoch 252, minibatch 300/300, validation error 12.962963 %
epoch 253, minibatch 300/300, validation error 12.962963 %
epoch 254, minibatch 300/300, validation error 12.962963 %
epoch 255, minibatch 300/300, validation error 12.962963 %
epoch 256, minibatch 300/300, validation error 12.962963 %
epoch 257, minibatch 300/300, validation error 12.962963 %
epoch 258, minibatch 300/300, validation error 12.962963 %
epoch 259, minibatch 300/300, validation error 12.962963 %
epoch 260, minibatch 300/300, validation error 12.962963 %
epoch 261, minibatch 300/300, validation error 12.962963 %
epoch 262, minibatch 300/300, validation error 12.962963 %
epoch 263, minibatch 300/300, validation error 12.962963 %
epoch 264, minibatch 300/300, validation error 12.962963 %
epoch 265, minibatch 300/300, validation error 11.111111 %
epoch 266, minibatch 300/300, validation error 11.111111 %
epoch 267, minibatch 300/300, validation error 11.111111 %
epoch 268, minibatch 300/300, validation error 11.111111 %
epoch 269, minibatch 300/300, validation error 11.111111 %
epoch 270, minibatch 300/300, validation error 11.111111 %
epoch 271, minibatch 300/300, validation error 11.111111 %
epoch 272, minibatch 300/300, validation error 11.111111 %
epoch 273, minibatch 300/300, validation error 11.111111 %
epoch 274, minibatch 300/300, validation error 11.111111 %
epoch 275, minibatch 300/300, validation error 11.111111 %
epoch 276, minibatch 300/300, validation error 11.111111 %
epoch 277, minibatch 300/300, validation error 11.111111 %
epoch 278, minibatch 300/300, validation error 11.111111 %
epoch 279, minibatch 300/300, validation error 11.111111 %
epoch 280, minibatch 300/300, validation error 11.111111 %
epoch 281, minibatch 300/300, validation error 11.111111 %
epoch 282, minibatch 300/300, validation error 11.111111 %
epoch 283, minibatch 300/300, validation error 11.111111 %
epoch 284, minibatch 300/300, validation error 11.111111 %
epoch 285, minibatch 300/300, validation error 11.111111 %
epoch 286, minibatch 300/300, validation error 11.111111 %
epoch 287, minibatch 300/300, validation error 11.111111 %
epoch 288, minibatch 300/300, validation error 11.111111 %
epoch 289, minibatch 300/300, validation error 11.111111 %
epoch 290, minibatch 300/300, validation error 11.111111 %
epoch 291, minibatch 300/300, validation error 11.111111 %
epoch 292, minibatch 300/300, validation error 11.111111 %
epoch 293, minibatch 300/300, validation error 11.111111 %
epoch 294, minibatch 300/300, validation error 11.111111 %
epoch 295, minibatch 300/300, validation error 11.111111 %
epoch 296, minibatch 300/300, validation error 11.111111 %
epoch 297, minibatch 300/300, validation error 11.111111 %
epoch 298, minibatch 300/300, validation error 11.111111 %
epoch 299, minibatch 300/300, validation error 11.111111 %
epoch 300, minibatch 300/300, validation error 11.111111 %
epoch 301, minibatch 300/300, validation error 11.111111 %
epoch 302, minibatch 300/300, validation error 11.111111 %
epoch 303, minibatch 300/300, validation error 11.111111 %
epoch 304, minibatch 300/300, validation error 11.111111 %
epoch 305, minibatch 300/300, validation error 11.111111 %
epoch 306, minibatch 300/300, validation error 11.111111 %
epoch 307, minibatch 300/300, validation error 11.111111 %
epoch 308, minibatch 300/300, validation error 11.111111 %
epoch 309, minibatch 300/300, validation error 11.111111 %
epoch 310, minibatch 300/300, validation error 11.111111 %
epoch 311, minibatch 300/300, validation error 11.111111 %
epoch 312, minibatch 300/300, validation error 11.111111 %
epoch 313, minibatch 300/300, validation error 11.111111 %
Optimization complete with best validation score of 1.851852 %, on iteration 47100, with test performance 5.128205 %
